 Flow Duration,Total Length of Fwd Packets, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Average Packet Size,Active Mean, Active Std,Idle Mean, Idle Std, Label
152,84,26315.78947,50.66666667,81.69659316,82.5,0,0,0,0,BENIGN
198,112,20202.0202,66,30.31501278,111,0,0,0,0,BENIGN
31090,68,128.6587327,10363.33333,17944.62372,88,0,0,0,0,BENIGN
99114431,234,0.080714785,14200000,33300000,108.75,2122426.5,2914738.7,47400000,59300000,BENIGN
157,0,12738.8535,157,0,0,0,0,0,0,BENIGN
98605124,11595,0.12169753,8964102.182,29700000,998.1666667,13819,0,98600000,0,BENIGN
871,286,3444.316877,435.5,614.4757929,97.33333333,0,0,0,0,BENIGN
32816,0,60.94588006,32816,0,0,0,0,0,0,BENIGN
925344,133,4.322716741,308448,440444.8861,115,0,0,0,0,BENIGN
154,76,25974.02597,51.33333333,84.58329228,55.5,0,0,0,0,BENIGN
27666,442,325.3090436,3458.25,7473.60341,85.77777778,0,0,0,0,BENIGN
164,92,24390.2439,54.66666667,54.90294467,100,0,0,0,0,BENIGN
116681,925,94.27413204,11668.1,16177.33512,102.3636364,0,0,0,0,BENIGN
116104545,700,1.309164943,768904.2715,2635256.911,807.8092105,62746.58333,136279.3439,9612631.917,1414240.268,BENIGN
5897809,0,0.678217962,1965936.333,3385128.14,0,0,0,0,0,BENIGN
224,78,17857.14286,74.66666667,44.45597073,88.75,0,0,0,0,BENIGN
23865,67,83.80473497,23865,0,141.5,0,0,0,0,BENIGN
741,0,2699.055331,741,0,0,0,0,0,0,BENIGN
69,6,28985.50725,69,0,9,0,0,0,0,BENIGN
169,60,23668.63905,56.33333333,92.37604307,88.5,0,0,0,0,BENIGN
136,54,29411.76471,45.33333333,72.45918391,41.75,0,0,0,0,BENIGN
190,12,10526.31579,190,0,9,0,0,0,0,BENIGN
129,12,15503.87597,129,0,9,0,0,0,0,BENIGN
17,77,176470.5882,8.5,7.778174593,41,0,0,0,0,BENIGN
31540925,0,0.158524203,7885231.25,15800000,0,2638,0,31500000,0,BENIGN
61870178,1681,1.810242085,557388.991,5550742.74,381.2678571,3379602,0,58500000,0,BENIGN
3,124,666666.6667,3,0,93,0,0,0,0,BENIGN
30940,84,129.2824822,10313.33333,17858.02118,66.5,0,0,0,0,BENIGN
48,0,41666.66667,48,0,0,0,0,0,0,BENIGN
116696879,588,0.222799446,4667875.16,16100000,180.1923077,119955.5,117019.8083,58200000,141077.7023,BENIGN
4,83,750000,2,1.414213562,43,0,0,0,0,BENIGN
30475,96,131.2551272,10158.33333,17589.5533,111,0,0,0,0,BENIGN
181,58,22099.44751,60.33333333,63.40609855,68.25,0,0,0,0,BENIGN
22967,0,87.08146471,22967,0,0,0,0,0,0,BENIGN
61852,52,32.33525189,61852,0,128,0,0,0,0,BENIGN
4,280,500000,4,0,277,0,0,0,0,BENIGN
40117726,37,0.074779912,20100000,28400000,12.33333333,0,0,40100000,0,BENIGN
51719,72,77.34101587,17239.66667,29816.68542,63.5,0,0,0,0,BENIGN
613822,40,3.258273571,613822,0,84.5,0,0,0,0,BENIGN
5878378,1436,1.360919628,839768.2857,2095443.843,327.125,0,0,0,0,BENIGN
91713,53,21.80715929,91713,0,131.5,0,0,0,0,BENIGN
170,6,11764.70588,170,0,9,0,0,0,0,BENIGN
283,90,14134.27562,94.33333333,161.6580754,96.75,0,0,0,0,BENIGN
135,66,29629.62963,45,74.4848978,66.25,0,0,0,0,BENIGN
68022283,96,0.05880426,22700000,39200000,60,22136,0,68000000,0,BENIGN
544,51,3676.470588,544,0,107,0,0,0,0,BENIGN
49181,82,81.33222179,16393.66667,28349.6396,68.75,0,0,0,0,BENIGN
3,12,666666.6667,3,0,9,0,0,0,0,BENIGN
725341,98,5.514647593,241780.3333,365941.3603,103,0,0,0,0,BENIGN
17440,280,172.0183486,8720,12201.83462,186.6666667,0,0,0,0,BENIGN
116986400,6466,1.709600432,587871.3568,2308457.417,719.925,204207.6364,557855.0941,10000000,3847.746174,BENIGN
31188,84,128.2544568,10396,17906.03197,72,0,0,0,0,BENIGN
34,12,58823.52941,34,0,9,0,0,0,0,BENIGN
16088013,11595,0.621580801,1787557,5347504.974,1192.6,0,0,16000000,0,BENIGN
193,82,20725.3886,64.33333333,28.29016319,67.25,0,0,0,0,BENIGN
199,12,20100.50251,66.33333333,74.21814693,7.5,0,0,0,0,BENIGN
63273963,133,0.094825734,12700000,17800000,87.33333333,34947.5,16696.91242,31600000,8181381.022,BENIGN
116263270,961,0.369850255,2768173.095,4507152.632,138.5813953,63310.18182,133124.3482,10200000,59131.122,BENIGN
48207,66,82.97550148,16069,27827.12827,49.25,0,0,0,0,BENIGN
5,24,800000,1.666666667,1.154700538,7.5,0,0,0,0,BENIGN
116630800,3843,2.855163473,351297.5904,1815814.512,1017.60961,94683.33333,245584.8751,9624549.75,1370651.718,BENIGN
10213812,2911,1.566506217,680920.8,2578015.512,409.4375,0,0,0,0,BENIGN
161,116,24844.7205,53.66666667,52.72886622,80.5,0,0,0,0,BENIGN
37378,60,107.0148216,12459.33333,21536.04282,88.5,0,0,0,0,BENIGN
908134,928,33.0347724,31314.96552,82685.63482,298.0666667,0,0,0,0,BENIGN
65021650,96,0.061517971,21700000,37500000,60,23943,0,65000000,0,BENIGN
5037577,12,0.794032528,1679192.333,2876436.604,3,0,0,0,0,BENIGN
24873,60,160.8169501,8291,14356.1032,151.5,0,0,0,0,BENIGN
23,0,86956.52174,23,0,0,0,0,0,0,BENIGN
278,6,7194.244604,278,0,9,0,0,0,0,BENIGN
179248,1207,94.84066768,11203,19954.52659,377.2941176,0,0,0,0,BENIGN
30197584,677,0.397382784,2745234.909,4614100.494,130.25,187967,215333.8139,9980994.5,116558.7747,BENIGN
30584,120,130.7873398,10194.66667,17613.52646,109,0,0,0,0,BENIGN
5478024,611,1.825475755,608669.3333,1780422.777,77.5,121868,0,5356153,0,BENIGN
48113,88,83.13761353,16037.66667,27734.76096,151,0,0,0,0,BENIGN
119365664,85348,112.9219203,8856.333581,93896.30483,1156.396394,0,0,0,0,BENIGN
115927108,522,0.258783304,3997486.483,4966387.238,25.66666667,46068.90909,15550.86128,10200000,9070.565598,BENIGN
20,6,100000,20,0,9,0,0,0,0,BENIGN
61657,90,64.87503446,20552.33333,35572.57267,127.25,0,0,0,0,BENIGN
117463585,1494,0.672548858,1505943.397,9294305.534,655.278481,255733,238412.365,58400000,686695.4368,BENIGN
2963,12,674.9915626,2963,0,9,0,0,0,0,BENIGN
190748,92,20.9700757,63582.66667,110041.8066,65.5,0,0,0,0,BENIGN
53381,53,37.4665143,53381,0,108,0,0,0,0,BENIGN
67,6,29850.74627,67,0,9,0,0,0,0,BENIGN
85498610,166,0.093568773,12200000,32300000,76.25,1465,0,85500000,0,BENIGN
47519,52,42.08842779,47519,0,94,0,0,0,0,BENIGN
4113515,849,5.348224086,195881.6667,872114.4873,299.5454545,0,0,0,0,BENIGN
16558,280,181.1813021,8279,11606.45071,186.6666667,0,0,0,0,BENIGN
1334852,2664,63.67747136,15891.09524,104760.7172,113.1529412,0,0,0,0,BENIGN
22,6,90909.09091,22,0,9,0,0,0,0,BENIGN
160,72,25000,53.33333333,86.31531343,61,0,0,0,0,BENIGN
31859,49,62.77660944,31859,0,137.5,0,0,0,0,BENIGN
